The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
PLSCR4,ENSG00000114698,phospholipid scramblase 4,0.721,0.601,0.78
TNNC2,ENSG00000101470,"troponin C2, fast skeletal type",0.783,0.656,0.663
FGFR3,ENSG00000068078,fibroblast growth factor receptor 3,0.545,0.739,0.817
DPP7,ENSG00000176978,dipeptidyl peptidase 7,0.735,0.542,0.824
PTPRC,ENSG00000081237,protein tyrosine phosphatase receptor type C,0.619,0.746,0.735
TCEA3,ENSG00000204219,transcription elongation factor A3,0.616,0.692,0.792
KIAA0513,ENSG00000135709,KIAA0513,0.784,0.537,0.778
GPR146,ENSG00000164849,G protein-coupled receptor 146,0.636,0.644,0.819
NAGS,ENSG00000161653,N-acetylglutamate synthase,0.697,0.598,0.804
HES5,ENSG00000197921,hes family bHLH transcription factor 5,0.493,0.708,0.898
DOK7,ENSG00000175920,docking protein 7,0.721,0.546,0.831
IRF8,ENSG00000140968,interferon regulatory factor 8,0.585,0.819,0.694
VWA5B2,ENSG00000145198,von Willebrand factor A domain containing 5B2,0.748,0.674,0.675
PODXL2,ENSG00000114631,podocalyxin like 2,0.661,0.807,0.627
PCSK4,ENSG00000115257,proprotein convertase subtilisin/kexin type 4,0.682,0.658,0.754
TBX2,ENSG00000121068,T-box transcription factor 2,0.616,0.68,0.798
MYADML2,ENSG00000185105,myeloid associated differentiation marker like 2,0.746,0.653,0.695
INHA,ENSG00000123999,inhibin subunit alpha,0.741,0.557,0.795
PEX16,ENSG00000121680,peroxisomal biogenesis factor 16,0.746,0.617,0.73
TMC8,ENSG00000167895,transmembrane channel like 8,0.647,0.711,0.734
BMPR1B,ENSG00000138696,bone morphogenetic protein receptor type 1B,0.695,0.542,0.855
ECE2,ENSG00000145194,endothelin converting enzyme 2,0.766,0.631,0.695
SPCS1,ENSG00000114902,signal peptidase complex subunit 1,0.67,0.794,0.627
MAPK15,ENSG00000181085,mitogen-activated protein kinase 15,0.673,0.558,0.86
G6PC3,ENSG00000141349,glucose-6-phosphatase catalytic subunit 3,0.737,0.658,0.696
ADHFE1,ENSG00000147576,alcohol dehydrogenase iron containing 1,0.635,0.644,0.812
S100B,ENSG00000160307,S100 calcium binding protein B,0.537,0.827,0.727
USHBP1,ENSG00000130307,USH1 protein network component harmonin binding protein 1,0.611,0.689,0.791
SLC7A7,ENSG00000155465,solute carrier family 7 member 7,0.631,0.721,0.738
PCDHGC5,ENSG00000240764,"protocadherin gamma subfamily C, 5",0.68,0.684,0.726
VAX2,ENSG00000116035,ventral anterior homeobox 2,0.684,0.602,0.804
FUT10,ENSG00000172728,fucosyltransferase 10,0.671,0.675,0.744
IRX5,ENSG00000176842,iroquois homeobox 5,0.736,0.504,0.849
HPDL,ENSG00000186603,4-hydroxyphenylpyruvate dioxygenase like,0.62,0.732,0.736
TCEAL7,ENSG00000182916,transcription elongation factor A like 7,0.787,0.556,0.744
C22orf15,ENSG00000169314,chromosome 22 open reading frame 15,0.688,0.565,0.834
VTI1B,ENSG00000100568,vesicle transport through interaction with t-SNAREs 1B,0.766,0.624,0.696
TMEM54,ENSG00000121900,transmembrane protein 54,0.755,0.575,0.756
ANKRD35,ENSG00000198483,ankyrin repeat domain 35,0.684,0.57,0.831
KLK10,ENSG00000129451,kallikrein related peptidase 10,0.72,0.589,0.775
NFAM1,ENSG00000235568,NFAT activating protein with ITAM motif 1,0.694,0.659,0.73
PTGES3,ENSG00000110958,prostaglandin E synthase 3,0.754,0.666,0.663
COMMD6,ENSG00000188243,COMM domain containing 6,0.688,0.661,0.733
HGFAC,ENSG00000109758,HGF activator,0.757,0.566,0.759
ARSF,ENSG00000062096,arylsulfatase F,0.662,0.649,0.77
TATDN1,ENSG00000147687,TatD DNase domain containing 1,0.778,0.553,0.749
PKP4,ENSG00000144283,plakophilin 4,0.695,0.627,0.757
OSCAR,ENSG00000170909,osteoclast associated Ig-like receptor,0.642,0.697,0.74
RPH3AL,ENSG00000181031,rabphilin 3A like (without C2 domains),0.651,0.709,0.719
RASSF4,ENSG00000107551,Ras association domain family member 4,0.552,0.743,0.781
MID1IP1,ENSG00000165175,MID1 interacting protein 1,0.693,0.695,0.687
EXOSC4,ENSG00000178896,exosome component 4,0.698,0.634,0.743
SARDH,ENSG00000123453,sarcosine dehydrogenase,0.642,0.714,0.719
GATA2,ENSG00000179348,GATA binding protein 2,0.621,0.692,0.761
RNF135,ENSG00000181481,ring finger protein 135,0.606,0.661,0.807
RBM42,ENSG00000126254,RNA binding motif protein 42,0.633,0.723,0.718
PLA1A,ENSG00000144837,phospholipase A1 member A,0.684,0.525,0.865
CD58,ENSG00000116815,CD58 molecule,0.655,0.606,0.812
EPSTI1,ENSG00000133106,epithelial stromal interaction 1,0.663,0.591,0.819
KDELR1,ENSG00000105438,KDEL endoplasmic reticulum protein retention receptor 1,0.587,0.865,0.621
STAT5A,ENSG00000126561,signal transducer and activator of transcription 5A,0.612,0.716,0.745
EML3,ENSG00000149499,EMAP like 3,0.668,0.626,0.778
MEIS3,ENSG00000105419,Meis homeobox 3,0.698,0.569,0.805
SCIN,ENSG00000006747,scinderin,0.632,0.688,0.751
TOMM20,ENSG00000173726,translocase of outer mitochondrial membrane 20,0.8,0.609,0.661
PTRHD1,ENSG00000184924,peptidyl-tRNA hydrolase domain containing 1,0.719,0.637,0.713
CES2,ENSG00000172831,carboxylesterase 2,0.795,0.548,0.725
CITED4,ENSG00000179862,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4,0.694,0.683,0.69
NTF3,ENSG00000185652,neurotrophin 3,0.828,0.507,0.732
TREX1,ENSG00000213689,three prime repair exonuclease 1,0.61,0.612,0.844
SELENBP1,ENSG00000143416,selenium binding protein 1,0.614,0.613,0.839
DDX60,ENSG00000137628,DExD/H-box helicase 60,0.601,0.665,0.8
TRPV4,ENSG00000111199,transient receptor potential cation channel subfamily V member 4,0.676,0.576,0.814
LGI4,ENSG00000153902,leucine rich repeat LGI family member 4,0.692,0.579,0.795
SELPLG,ENSG00000110876,selectin P ligand,0.798,0.591,0.677
TSPYL1,ENSG00000189241,TSPY like 1,0.715,0.723,0.627
NGB,ENSG00000165553,neuroglobin,0.631,0.647,0.787
FOSL1,ENSG00000175592,"FOS like 1, AP-1 transcription factor subunit",0.694,0.514,0.857
SLC44A2,ENSG00000129353,solute carrier family 44 member 2,0.607,0.791,0.666
FAM3A,ENSG00000071889,FAM3 metabolism regulating signaling molecule A,0.646,0.796,0.622
ZCCHC24,ENSG00000165424,zinc finger CCHC-type containing 24,0.754,0.576,0.734
TMEM88,ENSG00000167874,transmembrane protein 88,0.719,0.615,0.73
HLA-G,ENSG00000204632,"major histocompatibility complex, class I, G",0.687,0.533,0.844
EMP1,ENSG00000134531,epithelial membrane protein 1,0.648,0.601,0.813
DECR1,ENSG00000104325,"2,4-dienoyl-CoA reductase 1",0.574,0.847,0.641
SUSD3,ENSG00000157303,sushi domain containing 3,0.641,0.713,0.707
GTF3A,ENSG00000122034,general transcription factor IIIA,0.694,0.654,0.713
TCEAL4,ENSG00000133142,transcription elongation factor A like 4,0.647,0.761,0.653
TMBIM1,ENSG00000135926,transmembrane BAX inhibitor motif containing 1,0.66,0.657,0.744
HSCB,ENSG00000100209,HscB mitochondrial iron-sulfur cluster cochaperone,0.767,0.55,0.744
PPFIA4,ENSG00000143847,PTPRF interacting protein alpha 4,0.754,0.501,0.805
SCUBE2,ENSG00000175356,"signal peptide, CUB domain and EGF like domain containing 2",0.572,0.67,0.818
SCARF2,ENSG00000244486,scavenger receptor class F member 2,0.68,0.657,0.723
PEBP4,ENSG00000134020,phosphatidylethanolamine binding protein 4,0.735,0.501,0.823
ABHD3,ENSG00000158201,"abhydrolase domain containing 3, phospholipase",0.619,0.692,0.748
SIGLEC9,ENSG00000129450,sialic acid binding Ig like lectin 9,0.683,0.603,0.773
MRPL24,ENSG00000143314,mitochondrial ribosomal protein L24,0.636,0.711,0.712
LPAR3,ENSG00000171517,lysophosphatidic acid receptor 3,0.706,0.558,0.794
SNX8,ENSG00000106266,sorting nexin 8,0.701,0.705,0.652
ANKRD40,ENSG00000154945,ankyrin repeat domain 40,0.693,0.673,0.692
FAM71E1,ENSG00000142530,family with sequence similarity 71 member E1,0.679,0.654,0.724
BTN3A2,ENSG00000186470,butyrophilin subfamily 3 member A2,0.635,0.618,0.804
IRAK1,ENSG00000184216,interleukin 1 receptor associated kinase 1,0.761,0.589,0.707
SULT1A2,ENSG00000197165,sulfotransferase family 1A member 2,0.691,0.606,0.76
RBMS2,ENSG00000076067,RNA binding motif single stranded interacting protein 2,0.631,0.696,0.73
PNPLA2,ENSG00000177666,patatin like phospholipase domain containing 2,0.648,0.793,0.615
CARD9,ENSG00000187796,caspase recruitment domain family member 9,0.785,0.544,0.727
SAMD14,ENSG00000167100,sterile alpha motif domain containing 14,0.767,0.554,0.735
ZDHHC12,ENSG00000160446,zinc finger DHHC-type palmitoyltransferase 12,0.665,0.622,0.769
ACACB,ENSG00000076555,acetyl-CoA carboxylase beta,0.638,0.615,0.803
IL17RE,ENSG00000163701,interleukin 17 receptor E,0.674,0.614,0.768
SUCLG2,ENSG00000172340,succinate-CoA ligase GDP-forming subunit beta,0.685,0.534,0.837
SLC18A3,ENSG00000187714,solute carrier family 18 member A3,0.726,0.559,0.77
DDRGK1,ENSG00000198171,DDRGK domain containing 1,0.61,0.759,0.686
PDE6G,ENSG00000185527,phosphodiesterase 6G,0.639,0.687,0.727
SLC25A34,ENSG00000162461,solute carrier family 25 member 34,0.685,0.592,0.776
CLEC1A,ENSG00000150048,C-type lectin domain family 1 member A,0.66,0.593,0.8
SYCP3,ENSG00000139351,synaptonemal complex protein 3,0.64,0.648,0.764
GPR35,ENSG00000178623,G protein-coupled receptor 35,0.645,0.623,0.784
UNC13D,ENSG00000092929,unc-13 homolog D,0.647,0.578,0.826
TMBIM6,ENSG00000139644,transmembrane BAX inhibitor motif containing 6,0.663,0.758,0.63
CYB5R3,ENSG00000100243,cytochrome b5 reductase 3,0.662,0.711,0.678
SREBF2,ENSG00000198911,sterol regulatory element binding transcription factor 2,0.699,0.757,0.594
ESRRA,ENSG00000173153,estrogen related receptor alpha,0.716,0.683,0.65
OSM,ENSG00000099985,oncostatin M,0.637,0.613,0.798
LYZ,ENSG00000090382,lysozyme,0.645,0.584,0.819
CCDC33,ENSG00000140481,coiled-coil domain containing 33,0.659,0.585,0.804
PEX26,ENSG00000215193,peroxisomal biogenesis factor 26,0.81,0.53,0.707
TRNP1,ENSG00000253368,TMF1 regulated nuclear protein 1,0.8,0.574,0.673
NR2F6,ENSG00000160113,nuclear receptor subfamily 2 group F member 6,0.687,0.692,0.668
PEMT,ENSG00000133027,phosphatidylethanolamine N-methyltransferase,0.663,0.742,0.642
EPS8L2,ENSG00000177106,EPS8 like 2,0.617,0.667,0.762
ANXA3,ENSG00000138772,annexin A3,0.605,0.702,0.739
ARHGAP27,ENSG00000159314,Rho GTPase activating protein 27,0.696,0.631,0.719
EZR,ENSG00000092820,ezrin,0.595,0.713,0.738
B4GALT1,ENSG00000086062,"beta-1,4-galactosyltransferase 1",0.669,0.645,0.731
RAC3,ENSG00000169750,Rac family small GTPase 3,0.635,0.704,0.705
ZNF593,ENSG00000142684,zinc finger protein 593,0.717,0.642,0.684
CHADL,ENSG00000100399,chondroadherin like,0.628,0.78,0.635
TM4SF1,ENSG00000169908,transmembrane 4 L six family member 1,0.548,0.755,0.74
MFSD3,ENSG00000167700,major facilitator superfamily domain containing 3,0.738,0.59,0.715
ZNF296,ENSG00000170684,zinc finger protein 296,0.719,0.571,0.752
ELMO3,ENSG00000102890,engulfment and cell motility 3,0.677,0.57,0.795
MED29,ENSG00000063322,mediator complex subunit 29,0.709,0.681,0.651
MTCP1,ENSG00000214827,mature T cell proliferation 1,0.732,0.506,0.803
PON3,ENSG00000105852,paraoxonase 3,0.677,0.516,0.848
C3AR1,ENSG00000171860,complement C3a receptor 1,0.621,0.739,0.681
TLR2,ENSG00000137462,toll like receptor 2,0.636,0.614,0.791
FBRSL1,ENSG00000112787,fibrosin like 1,0.782,0.572,0.686
FBXL19,ENSG00000099364,F-box and leucine rich repeat protein 19,0.778,0.515,0.745
DEFA4,ENSG00000164821,defensin alpha 4,0.612,0.64,0.786
LIME1,ENSG00000203896,Lck interacting transmembrane adaptor 1,0.697,0.629,0.711
MGAT3,ENSG00000128268,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0.7,0.664,0.673
LRRC36,ENSG00000159708,leucine rich repeat containing 36,0.681,0.602,0.754
CLYBL,ENSG00000125246,citramalyl-CoA lyase,0.595,0.758,0.684
GP1BA,ENSG00000185245,glycoprotein Ib platelet subunit alpha,0.688,0.605,0.744
RTN4,ENSG00000115310,reticulon 4,0.712,0.685,0.64
GRAMD1C,ENSG00000178075,GRAM domain containing 1C,0.645,0.564,0.827
PHLDB3,ENSG00000176531,pleckstrin homology like domain family B member 3,0.654,0.714,0.668
ARHGAP30,ENSG00000186517,Rho GTPase activating protein 30,0.566,0.747,0.723
NHLRC4,ENSG00000257108,NHL repeat containing 4,0.669,0.514,0.853
IL1B,ENSG00000125538,interleukin 1 beta,0.679,0.52,0.836
ZNF469,ENSG00000225614,zinc finger protein 469,0.699,0.609,0.726
MDK,ENSG00000110492,midkine,0.674,0.601,0.758
WNT11,ENSG00000085741,Wnt family member 11,0.663,0.592,0.778
ABHD4,ENSG00000100439,"abhydrolase domain containing 4, N-acyl phospholipase B",0.612,0.683,0.738
TFR2,ENSG00000106327,transferrin receptor 2,0.81,0.553,0.669
TSPAN4,ENSG00000214063,tetraspanin 4,0.685,0.603,0.744
ATP9A,ENSG00000054793,ATPase phospholipid transporting 9A (putative),0.81,0.592,0.63
S100A1,ENSG00000160678,S100 calcium binding protein A1,0.683,0.515,0.834
STOML2,ENSG00000165283,stomatin like 2,0.673,0.698,0.659
TMCC2,ENSG00000133069,transmembrane and coiled-coil domain family 2,0.806,0.592,0.632
SYTL1,ENSG00000142765,synaptotagmin like 1,0.699,0.575,0.754
GPR17,ENSG00000144230,G protein-coupled receptor 17,0.663,0.656,0.709
ZDHHC1,ENSG00000159714,zinc finger DHHC-type containing 1,0.624,0.596,0.807
NPFF,ENSG00000139574,neuropeptide FF-amide peptide precursor,0.734,0.501,0.792
C8orf82,ENSG00000213563,chromosome 8 open reading frame 82,0.648,0.699,0.679
NPM3,ENSG00000107833,nucleophosmin/nucleoplasmin 3,0.642,0.63,0.754
C20orf202,ENSG00000215595,chromosome 20 open reading frame 202,0.564,0.763,0.699
ETHE1,ENSG00000105755,ETHE1 persulfide dioxygenase,0.726,0.561,0.738
STON2,ENSG00000140022,stonin 2,0.61,0.612,0.803
LAMA5,ENSG00000130702,laminin subunit alpha 5,0.689,0.564,0.772
GUCA1B,ENSG00000112599,guanylate cyclase activator 1B,0.734,0.635,0.655
CD86,ENSG00000114013,CD86 molecule,0.657,0.654,0.713
STARD7,ENSG00000084090,StAR related lipid transfer domain containing 7,0.758,0.628,0.637
TAX1BP3,ENSG00000213977,Tax1 binding protein 3,0.7,0.555,0.768
RINL,ENSG00000187994,Ras and Rab interactor like,0.775,0.507,0.74
ARRB2,ENSG00000141480,arrestin beta 2,0.675,0.717,0.63
EAF2,ENSG00000145088,ELL associated factor 2,0.743,0.514,0.764
STK17B,ENSG00000081320,serine/threonine kinase 17b,0.553,0.732,0.736
GPR34,ENSG00000171659,G protein-coupled receptor 34,0.786,0.557,0.677
ASB16,ENSG00000161664,ankyrin repeat and SOCS box containing 16,0.673,0.631,0.716
MSRB2,ENSG00000148450,methionine sulfoxide reductase B2,0.669,0.576,0.775
CHAD,ENSG00000136457,chondroadherin,0.675,0.689,0.656
RIBC1,ENSG00000158423,RIB43A domain with coiled-coils 1,0.647,0.519,0.853
RNF5,ENSG00000204308,ring finger protein 5,0.721,0.55,0.748
PIH1D1,ENSG00000104872,PIH1 domain containing 1,0.657,0.684,0.678
TSPAN33,ENSG00000158457,tetraspanin 33,0.588,0.691,0.74
RANGRF,ENSG00000108961,RAN guanine nucleotide release factor,0.704,0.552,0.761
PLIN1,ENSG00000166819,perilipin 1,0.668,0.509,0.84
PYROXD2,ENSG00000119943,pyridine nucleotide-disulphide oxidoreductase domain 2,0.526,0.75,0.74
SPHK2,ENSG00000063176,sphingosine kinase 2,0.761,0.634,0.62
BCAS1,ENSG00000064787,brain enriched myelin associated protein 1,0.759,0.582,0.673
PLSCR3,ENSG00000187838,phospholipid scramblase 3,0.597,0.723,0.694
STX11,ENSG00000135604,syntaxin 11,0.627,0.584,0.803
MICA,ENSG00000204520,MHC class I polypeptide-related sequence A,0.515,0.7,0.798
FHOD1,ENSG00000135723,formin homology 2 domain containing 1,0.752,0.531,0.73
TMCO4,ENSG00000162542,transmembrane and coiled-coil domains 4,0.686,0.551,0.776
DNAI2,ENSG00000171595,dynein axonemal intermediate chain 2,0.675,0.502,0.835
PCDHGA11,ENSG00000253873,"protocadherin gamma subfamily A, 11",0.63,0.752,0.63
HAPLN3,ENSG00000140511,hyaluronan and proteoglycan link protein 3,0.712,0.529,0.771
CSPG4,ENSG00000173546,chondroitin sulfate proteoglycan 4,0.66,0.65,0.702
CD300A,ENSG00000167851,CD300a molecule,0.643,0.628,0.74
CD69,ENSG00000110848,CD69 molecule,0.637,0.547,0.827
HAGH,ENSG00000063854,hydroxyacylglutathione hydrolase,0.608,0.758,0.644
HBD,ENSG00000223609,hemoglobin subunit delta,0.61,0.567,0.833
TTYH3,ENSG00000136295,tweety family member 3,0.777,0.581,0.651
LSP1,ENSG00000130592,lymphocyte specific protein 1,0.7,0.525,0.784
SERGEF,ENSG00000129158,secretion regulating guanine nucleotide exchange factor,0.758,0.562,0.689
KRTAP5-1,ENSG00000205869,keratin associated protein 5-1,0.709,0.568,0.731
RAB43,ENSG00000172780,"RAB43, member RAS oncogene family",0.618,0.694,0.696
LCN12,ENSG00000184925,lipocalin 12,0.569,0.596,0.843
AGT,ENSG00000135744,angiotensinogen,0.701,0.661,0.646
HAVCR2,ENSG00000135077,hepatitis A virus cellular receptor 2,0.594,0.735,0.679
CDC42BPB,ENSG00000198752,CDC42 binding protein kinase beta,0.658,0.721,0.628
TMPRSS6,ENSG00000187045,transmembrane serine protease 6,0.701,0.54,0.766
ZBTB4,ENSG00000174282,zinc finger and BTB domain containing 4,0.748,0.6,0.659
BIK,ENSG00000100290,BCL2 interacting killer,0.603,0.686,0.717
STK11,ENSG00000118046,serine/threonine kinase 11,0.678,0.607,0.721
APOL3,ENSG00000128284,apolipoprotein L3,0.625,0.662,0.719
TMOD2,ENSG00000128872,tropomodulin 2,0.777,0.607,0.621
TCEA2,ENSG00000171703,transcription elongation factor A2,0.642,0.699,0.664
PLVAP,ENSG00000130300,plasmalemma vesicle associated protein,0.714,0.542,0.749
VSIG8,ENSG00000243284,V-set and immunoglobulin domain containing 8,0.65,0.658,0.696
IRF5,ENSG00000128604,interferon regulatory factor 5,0.61,0.683,0.71
PPIC,ENSG00000168938,peptidylprolyl isomerase C,0.552,0.687,0.764
PRCD,ENSG00000214140,photoreceptor disc component,0.688,0.596,0.719
TRPM4,ENSG00000130529,transient receptor potential cation channel subfamily M member 4,0.76,0.517,0.725
INS-IGF2,ENSG00000129965,INS-IGF2 readthrough,0.811,0.52,0.671
DHRS4L2,ENSG00000187630,dehydrogenase/reductase 4 like 2,0.591,0.707,0.704
RNASE6,ENSG00000169413,ribonuclease A family member k6,0.731,0.508,0.763
IGSF8,ENSG00000162729,immunoglobulin superfamily member 8,0.522,0.832,0.647
DUSP23,ENSG00000158716,dual specificity phosphatase 23,0.659,0.597,0.745
ABHD15,ENSG00000168792,abhydrolase domain containing 15,0.543,0.706,0.751
TNK2,ENSG00000061938,tyrosine kinase non receptor 2,0.783,0.541,0.676
BTF3,ENSG00000145741,basic transcription factor 3,0.66,0.687,0.653
SPATA18,ENSG00000163071,spermatogenesis associated 18,0.572,0.639,0.789
MAP1LC3C,ENSG00000197769,microtubule associated protein 1 light chain 3 gamma,0.635,0.631,0.732
ACSS3,ENSG00000111058,acyl-CoA synthetase short chain family member 3,0.667,0.558,0.773
NPFFR1,ENSG00000148734,neuropeptide FF receptor 1,0.679,0.547,0.771
EFNA4,ENSG00000243364,ephrin A4,0.569,0.614,0.814
TGFB1I1,ENSG00000140682,transforming growth factor beta 1 induced transcript 1,0.642,0.581,0.773
CASKIN2,ENSG00000177303,CASK interacting protein 2,0.681,0.709,0.606
ELF4,ENSG00000102034,E74 like ETS transcription factor 4,0.63,0.608,0.757
HMGN3,ENSG00000118418,high mobility group nucleosomal binding domain 3,0.59,0.791,0.613
RBP1,ENSG00000114115,retinol binding protein 1,0.488,0.821,0.685
CRYBB1,ENSG00000100122,crystallin beta B1,0.649,0.652,0.692
FAM160A1,ENSG00000164142,Family With Sequence Similarity 160 Member A1,0.664,0.613,0.716
DRAM1,ENSG00000136048,DNA damage regulated autophagy modulator 1,0.556,0.712,0.724
CACNG1,ENSG00000108878,calcium voltage-gated channel auxiliary subunit gamma 1,0.63,0.659,0.702
PDLIM5,ENSG00000163110,PDZ and LIM domain 5,0.656,0.56,0.775
MAMSTR,ENSG00000176909,MEF2 activating motif and SAP domain containing transcriptional regulator,0.646,0.67,0.673
BTN2A2,ENSG00000124508,butyrophilin subfamily 2 member A2,0.565,0.638,0.786
RNPEPL1,ENSG00000142327,arginyl aminopeptidase like 1,0.622,0.739,0.628
ATAD3B,ENSG00000160072,ATPase family AAA domain containing 3B,0.649,0.627,0.712
NTAN1,ENSG00000157045,N-terminal asparagine amidase,0.709,0.607,0.672
IMP4,ENSG00000136718,IMP U3 small nucleolar ribonucleoprotein 4,0.739,0.535,0.714
DTNA,ENSG00000134769,dystrobrevin alpha,0.78,0.625,0.583
KLK4,ENSG00000167749,kallikrein related peptidase 4,0.677,0.567,0.744
STX1A,ENSG00000106089,syntaxin 1A,0.612,0.654,0.721
GOLGA7,ENSG00000147533,golgin A7,0.648,0.694,0.645
FIBIN,ENSG00000176971,fin bud initiation factor homolog,0.633,0.622,0.732
SOD2,ENSG00000112096,superoxide dismutase 2,0.799,0.516,0.672
TNFRSF10A,ENSG00000104689,TNF receptor superfamily member 10a,0.617,0.593,0.777
PTH2,ENSG00000142538,parathyroid hormone 2,0.704,0.553,0.73
SH3PXD2A,ENSG00000107957,SH3 and PX domains 2A,0.727,0.546,0.713
PLEKHH3,ENSG00000068137,"pleckstrin homology, MyTH4 and FERM domain containing H3",0.59,0.657,0.739
MSN,ENSG00000147065,moesin,0.729,0.63,0.626
MAP1LC3B,ENSG00000140941,microtubule associated protein 1 light chain 3 beta,0.707,0.661,0.617
SPINT2,ENSG00000167642,"serine peptidase inhibitor, Kunitz type 2",0.707,0.571,0.707
HHLA3,ENSG00000197568,HERV-H LTR-associating 3,0.573,0.653,0.759
GNGT2,ENSG00000167083,G protein subunit gamma transducin 2,0.677,0.552,0.755
MAP4K1,ENSG00000104814,mitogen-activated protein kinase kinase kinase kinase 1,0.682,0.593,0.709
FIBP,ENSG00000172500,FGF1 intracellular binding protein,0.656,0.703,0.625
F10,ENSG00000126218,coagulation factor X,0.561,0.71,0.713
CDKN2C,ENSG00000123080,cyclin dependent kinase inhibitor 2C,0.649,0.58,0.754
POLR2G,ENSG00000168002,RNA polymerase II subunit G,0.599,0.715,0.669
CCDC85C,ENSG00000205476,coiled-coil domain containing 85C,0.696,0.565,0.721
EPHA2,ENSG00000142627,EPH receptor A2,0.626,0.582,0.774
CCDC160,ENSG00000203952,coiled-coil domain containing 160,0.603,0.611,0.768
C1orf158,ENSG00000157330,chromosome 1 open reading frame 158,0.648,0.54,0.793
PHKA1,ENSG00000067177,phosphorylase kinase regulatory subunit alpha 1,0.642,0.626,0.713
STARD8,ENSG00000130052,StAR related lipid transfer domain containing 8,0.62,0.672,0.689
FEZ1,ENSG00000149557,fasciculation and elongation protein zeta 1,0.66,0.665,0.655
SLC2A10,ENSG00000197496,solute carrier family 2 member 10,0.556,0.637,0.787
TUBA3D,ENSG00000075886,tubulin alpha 3d,0.635,0.576,0.768
PRAM1,ENSG00000133246,PML-RARA regulated adaptor molecule 1,0.64,0.577,0.761
ECHDC2,ENSG00000121310,enoyl-CoA hydratase domain containing 2,0.615,0.508,0.855
TOLLIP,ENSG00000078902,toll interacting protein,0.634,0.693,0.65
CCNY,ENSG00000108100,cyclin Y,0.736,0.584,0.656
SH3BP2,ENSG00000087266,SH3 domain binding protein 2,0.724,0.548,0.704
PRR22,ENSG00000212123,proline rich 22,0.614,0.593,0.768
HPGDS,ENSG00000163106,hematopoietic prostaglandin D synthase,0.629,0.665,0.681
R3HCC1,ENSG00000104679,R3H domain and coiled-coil containing 1,0.595,0.722,0.658
WDR49,ENSG00000174776,WD repeat domain 49,0.587,0.545,0.842
HSBP1L1,ENSG00000226742,heat shock factor binding protein 1 like 1,0.637,0.677,0.66
TMEM31,ENSG00000179363,transmembrane protein 31,0.557,0.725,0.691
TBXA2R,ENSG00000006638,thromboxane A2 receptor,0.607,0.633,0.733
RELB,ENSG00000104856,"RELB proto-oncogene, NF-kB subunit",0.681,0.666,0.625
CCDC154,ENSG00000197599,coiled-coil domain containing 154,0.634,0.555,0.783
CCDC107,ENSG00000159884,coiled-coil domain containing 107,0.594,0.639,0.739
UBL4B,ENSG00000186150,ubiquitin like 4B,0.584,0.587,0.801
IGSF1,ENSG00000147255,immunoglobulin superfamily member 1,0.593,0.615,0.764
GPR137B,ENSG00000077585,G protein-coupled receptor 137B,0.714,0.596,0.661
FXYD5,ENSG00000089327,FXYD domain containing ion transport regulator 5,0.603,0.64,0.728
LDLRAD2,ENSG00000187942,low density lipoprotein receptor class A domain containing 2,0.603,0.644,0.724
MAF1,ENSG00000179632,"MAF1 homolog, negative regulator of RNA polymerase III",0.636,0.641,0.693
NRL,ENSG00000129535,neural retina leucine zipper,0.674,0.664,0.632
ZNF414,ENSG00000133250,zinc finger protein 414,0.655,0.657,0.658
CKM,ENSG00000104879,"creatine kinase, M-type",0.699,0.569,0.701
PTCD1,ENSG00000106246,pentatricopeptide repeat domain 1,0.661,0.639,0.669
UCK1,ENSG00000130717,uridine-cytidine kinase 1,0.663,0.609,0.696
XAF1,ENSG00000132530,XIAP associated factor 1,0.642,0.59,0.736
CTSH,ENSG00000103811,cathepsin H,0.53,0.708,0.729
VAMP1,ENSG00000139190,vesicle associated membrane protein 1,0.774,0.528,0.665
HAX1,ENSG00000143575,HCLS1 associated protein X-1,0.647,0.679,0.641
ACY1,ENSG00000243989,aminoacylase 1,0.616,0.705,0.646
CSDE1,ENSG00000009307,cold shock domain containing E1,0.78,0.561,0.625
STAC3,ENSG00000185482,SH3 and cysteine rich domain 3,0.643,0.562,0.76
TP73,ENSG00000078900,tumor protein p73,0.701,0.613,0.651
BAIAP2L2,ENSG00000128298,BAR/IMD domain containing adaptor protein 2 like 2,0.65,0.706,0.609
IGDCC4,ENSG00000103742,immunoglobulin superfamily DCC subclass member 4,0.695,0.549,0.72
RSL24D1,ENSG00000137876,ribosomal L24 domain containing 1,0.709,0.545,0.709
KLRC3,ENSG00000205810,killer cell lectin like receptor C3,0.654,0.606,0.703
PAPLN,ENSG00000100767,"papilin, proteoglycan like sulfated glycoprotein",0.611,0.603,0.749
PLBD1,ENSG00000121316,phospholipase B domain containing 1,0.566,0.618,0.779
TAS1R3,ENSG00000169962,taste 1 receptor member 3,0.642,0.67,0.651
UFSP1,ENSG00000176125,UFM1 specific peptidase 1 (inactive),0.656,0.695,0.611
PAQR5,ENSG00000137819,progestin and adipoQ receptor family member 5,0.618,0.643,0.701
